modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
2048,1195,14,0.99,"{""z"": 112, ""m"": 1023, ""s"": 12, ""l"": 86, ""algorithms"": [""EH17"", ""E20""]}"
2048,1181,15,0.99,"{""z"": 112, ""m"": 1023, ""s"": 13, ""l"": 79, ""algorithms"": [""EH17"", ""E20""]}"
2048,1171,16,0.99,"{""z"": 112, ""m"": 1023, ""s"": 14, ""l"": 74, ""algorithms"": [""EH17"", ""E20""]}"
2048,1161,17,0.99,"{""z"": 112, ""m"": 1023, ""s"": 15, ""l"": 69, ""algorithms"": [""EH17"", ""E20""]}"
2048,1151,19,0.99,"{""z"": 112, ""m"": 1023, ""s"": 16, ""l"": 64, ""algorithms"": [""EH17"", ""E20""]}"
2048,1145,20,0.99,"{""z"": 112, ""m"": 1023, ""s"": 17, ""l"": 61, ""algorithms"": [""EH17"", ""E20""]}"
2048,1137,22,0.99,"{""z"": 112, ""m"": 1023, ""s"": 18, ""l"": 57, ""algorithms"": [""EH17"", ""E20""]}"
2048,1131,23,0.99,"{""z"": 112, ""m"": 1023, ""s"": 19, ""l"": 54, ""algorithms"": [""EH17"", ""E20""]}"
2048,1127,24,0.99,"{""z"": 112, ""m"": 1023, ""s"": 20, ""l"": 52, ""algorithms"": [""EH17"", ""E20""]}"
2048,1121,26,0.99,"{""z"": 112, ""m"": 1023, ""s"": 21, ""l"": 49, ""algorithms"": [""EH17"", ""E20""]}"
2048,1117,27,0.99,"{""z"": 112, ""m"": 1023, ""s"": 22, ""l"": 47, ""algorithms"": [""EH17"", ""E20""]}"
2048,1113,29,0.99,"{""z"": 112, ""m"": 1023, ""s"": 23, ""l"": 45, ""algorithms"": [""EH17"", ""E20""]}"
2048,1109,31,0.99,"{""z"": 112, ""m"": 1023, ""s"": 24, ""l"": 43, ""algorithms"": [""EH17"", ""E20""]}"
2048,1105,32,0.99,"{""z"": 112, ""m"": 1023, ""s"": 25, ""l"": 41, ""algorithms"": [""EH17"", ""E20""]}"
2048,1103,34,0.99,"{""z"": 112, ""m"": 1023, ""s"": 26, ""l"": 40, ""algorithms"": [""EH17"", ""E20""]}"
2048,1099,36,0.99,"{""z"": 112, ""m"": 1023, ""s"": 27, ""l"": 38, ""algorithms"": [""EH17"", ""E20""]}"
2048,1097,37,0.99,"{""z"": 112, ""m"": 1023, ""s"": 28, ""l"": 37, ""algorithms"": [""EH17"", ""E20""]}"
2048,1095,39,0.99,"{""z"": 112, ""m"": 1023, ""s"": 29, ""l"": 36, ""algorithms"": [""EH17"", ""E20""]}"
3072,4505,1,0.999,"{""z"": 128, ""m"": 1535, ""delta"": 50, ""l"": 1485, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
3072,4545,1,0.9999,"{""z"": 128, ""m"": 1535, ""delta"": 30, ""l"": 1505, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
3072,4563,1,0.9999,"{""z"": 128, ""m"": 1535, ""delta"": 21, ""l"": 1514, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
3072,4565,1,0.999,"{""z"": 128, ""m"": 1535, ""delta"": 20, ""l"": 1515, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
3072,3071,3,0.99,"{""z"": 128, ""m"": 1535, ""s"": 2, ""l"": 768, ""algorithms"": [""EH17"", ""E20""]}"
3072,2559,4,0.99,"{""z"": 128, ""m"": 1535, ""s"": 3, ""l"": 512, ""algorithms"": [""EH17"", ""E20""]}"
3072,2303,5,0.99,"{""z"": 128, ""m"": 1535, ""s"": 4, ""l"": 384, ""algorithms"": [""EH17"", ""E20""]}"
3072,2149,6,0.99,"{""z"": 128, ""m"": 1535, ""s"": 5, ""l"": 307, ""algorithms"": [""EH17"", ""E20""]}"
3072,2047,7,0.99,"{""z"": 128, ""m"": 1535, ""s"": 6, ""l"": 256, ""algorithms"": [""EH17"", ""E20""]}"
3072,1975,8,0.99,"{""z"": 128, ""m"": 1535, ""s"": 7, ""l"": 220, ""algorithms"": [""EH17"", ""E20""]}"
3072,1919,9,0.99,"{""z"": 128, ""m"": 1535, ""s"": 8, ""l"": 192, ""algorithms"": [""EH17"", ""E20""]}"
3072,1877,10,0.99,"{""z"": 128, ""m"": 1535, ""s"": 9, ""l"": 171, ""algorithms"": [""EH17"", ""E20""]}"
3072,1843,11,0.99,"{""z"": 128, ""m"": 1535, ""s"": 10, ""l"": 154, ""algorithms"": [""EH17"", ""E20""]}"
3072,1815,12,0.99,"{""z"": 128, ""m"": 1535, ""s"": 11, ""l"": 140, ""algorithms"": [""EH17"", ""E20""]}"
3072,1791,13,0.99,"{""z"": 128, ""m"": 1535, ""s"": 12, ""l"": 128, ""algorithms"": [""EH17"", ""E20""]}"
3072,1773,14,0.99,"{""z"": 128, ""m"": 1535, ""s"": 13, ""l"": 119, ""algorithms"": [""EH17"", ""E20""]}"
