modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
2048,274,14,0.99,"{""z"": 112, ""m"": 224, ""s"": 9, ""l"": 25, ""algorithms"": [""EH17"", ""E20""]}"
2048,270,16,0.99,"{""z"": 112, ""m"": 224, ""s"": 10, ""l"": 23, ""algorithms"": [""EH17"", ""E20""]}"
2048,266,19,0.99,"{""z"": 112, ""m"": 224, ""s"": 11, ""l"": 21, ""algorithms"": [""EH17"", ""E20""]}"
2048,262,22,0.99,"{""z"": 112, ""m"": 224, ""s"": 12, ""l"": 19, ""algorithms"": [""EH17"", ""E20""]}"
3072,668,1,0.999,"{""z"": 128, ""m"": 256, ""delta"": 50, ""l"": 206, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
3072,708,1,0.9999,"{""z"": 128, ""m"": 256, ""delta"": 30, ""l"": 226, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
3072,728,1,0.999999,"{""z"": 128, ""m"": 256, ""delta"": 20, ""l"": 236, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
3072,768,1,0.9999999999,"{""z"": 128, ""m"": 256, ""delta"": 0, ""l"": 256, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
3072,512,3,0.99,"{""z"": 128, ""m"": 256, ""s"": 2, ""l"": 128, ""algorithms"": [""EH17"", ""E20""]}"
3072,428,4,0.99,"{""z"": 128, ""m"": 256, ""s"": 3, ""l"": 86, ""algorithms"": [""EH17"", ""E20""]}"
3072,384,5,0.99,"{""z"": 128, ""m"": 256, ""s"": 4, ""l"": 64, ""algorithms"": [""EH17"", ""E20""]}"
3072,360,6,0.99,"{""z"": 128, ""m"": 256, ""s"": 5, ""l"": 52, ""algorithms"": [""EH17"", ""E20""]}"
3072,342,8,0.99,"{""z"": 128, ""m"": 256, ""s"": 6, ""l"": 43, ""algorithms"": [""EH17"", ""E20""]}"
3072,330,9,0.99,"{""z"": 128, ""m"": 256, ""s"": 7, ""l"": 37, ""algorithms"": [""EH17"", ""E20""]}"
3072,320,11,0.99,"{""z"": 128, ""m"": 256, ""s"": 8, ""l"": 32, ""algorithms"": [""EH17"", ""E20""]}"
3072,314,13,0.99,"{""z"": 128, ""m"": 256, ""s"": 9, ""l"": 29, ""algorithms"": [""EH17"", ""E20""]}"
3072,308,15,0.99,"{""z"": 128, ""m"": 256, ""s"": 10, ""l"": 26, ""algorithms"": [""EH17"", ""E20""]}"
