modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
4096,608,1,0.9999,"{""z"": 152, ""m"": 304, ""sigma"": 0, ""s"": 1, ""l"": 304, ""algorithms"": [""E19p""]}"
4096,464,3,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 8, ""s"": 2, ""l"": 152, ""algorithms"": [""E19p""]}"
4096,414,4,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 8, ""s"": 3, ""l"": 102, ""algorithms"": [""E19p""]}"
4096,388,5,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 8, ""s"": 4, ""l"": 76, ""algorithms"": [""E19p""]}"
4096,374,6,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 9, ""s"": 5, ""l"": 61, ""algorithms"": [""E19p""]}"
4096,364,8,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 9, ""s"": 6, ""l"": 51, ""algorithms"": [""E19p""]}"
4096,357,9,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 9, ""s"": 7, ""l"": 44, ""algorithms"": [""E19p""]}"
4096,351,11,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 9, ""s"": 8, ""l"": 38, ""algorithms"": [""E19p""]}"
4096,348,12,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 10, ""s"": 9, ""l"": 34, ""algorithms"": [""E19p""]}"
4096,345,14,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 10, ""s"": 10, ""l"": 31, ""algorithms"": [""E19p""]}"
4096,342,16,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 10, ""s"": 11, ""l"": 28, ""algorithms"": [""E19p""]}"
4096,340,18,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 10, ""s"": 12, ""l"": 26, ""algorithms"": [""E19p""]}"
4096,338,20,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 10, ""s"": 13, ""l"": 24, ""algorithms"": [""E19p""]}"
4096,337,22,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 11, ""s"": 14, ""l"": 22, ""algorithms"": [""E19p""]}"
4096,336,24,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 11, ""s"": 15, ""l"": 21, ""algorithms"": [""E19p""]}"
4096,334,29,0.99,"{""z"": 152, ""m"": 304, ""sigma"": 11, ""s"": 16, ""l"": 19, ""algorithms"": [""E19p""]}"
6144,704,1,0.9999,"{""z"": 176, ""m"": 352, ""sigma"": 0, ""s"": 1, ""l"": 352, ""algorithms"": [""E19p""]}"
6144,536,3,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 8, ""s"": 2, ""l"": 176, ""algorithms"": [""E19p""]}"
6144,478,4,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 8, ""s"": 3, ""l"": 118, ""algorithms"": [""E19p""]}"
6144,448,5,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 8, ""s"": 4, ""l"": 88, ""algorithms"": [""E19p""]}"
6144,432,6,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 9, ""s"": 5, ""l"": 71, ""algorithms"": [""E19p""]}"
6144,420,7,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 9, ""s"": 6, ""l"": 59, ""algorithms"": [""E19p""]}"
6144,412,9,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 9, ""s"": 7, ""l"": 51, ""algorithms"": [""E19p""]}"
6144,405,10,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 9, ""s"": 8, ""l"": 44, ""algorithms"": [""E19p""]}"
6144,402,11,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 10, ""s"": 9, ""l"": 40, ""algorithms"": [""E19p""]}"
6144,398,13,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 10, ""s"": 10, ""l"": 36, ""algorithms"": [""E19p""]}"
6144,394,15,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 10, ""s"": 11, ""l"": 32, ""algorithms"": [""E19p""]}"
6144,392,17,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 10, ""s"": 12, ""l"": 30, ""algorithms"": [""E19p""]}"
6144,390,18,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 10, ""s"": 13, ""l"": 28, ""algorithms"": [""E19p""]}"
6144,388,21,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 10, ""s"": 14, ""l"": 26, ""algorithms"": [""E19p""]}"
6144,387,23,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 11, ""s"": 15, ""l"": 24, ""algorithms"": [""E19p""]}"
6144,385,26,0.99,"{""z"": 176, ""m"": 352, ""sigma"": 11, ""s"": 16, ""l"": 22, ""algorithms"": [""E19p""]}"
8192,800,1,0.9999,"{""z"": 200, ""m"": 400, ""sigma"": 0, ""s"": 1, ""l"": 400, ""algorithms"": [""E19p""]}"
8192,608,3,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 8, ""s"": 2, ""l"": 200, ""algorithms"": [""E19p""]}"
8192,542,4,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 8, ""s"": 3, ""l"": 134, ""algorithms"": [""E19p""]}"
8192,508,5,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 8, ""s"": 4, ""l"": 100, ""algorithms"": [""E19p""]}"
8192,489,6,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 9, ""s"": 5, ""l"": 80, ""algorithms"": [""E19p""]}"
8192,476,7,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 9, ""s"": 6, ""l"": 67, ""algorithms"": [""E19p""]}"
8192,467,8,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 9, ""s"": 7, ""l"": 58, ""algorithms"": [""E19p""]}"
8192,459,10,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 9, ""s"": 8, ""l"": 50, ""algorithms"": [""E19p""]}"
8192,454,11,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 9, ""s"": 9, ""l"": 45, ""algorithms"": [""E19p""]}"
8192,450,13,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 10, ""s"": 10, ""l"": 40, ""algorithms"": [""E19p""]}"
8192,447,14,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 10, ""s"": 11, ""l"": 37, ""algorithms"": [""E19p""]}"
8192,444,16,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 10, ""s"": 12, ""l"": 34, ""algorithms"": [""E19p""]}"
8192,441,18,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 10, ""s"": 13, ""l"": 31, ""algorithms"": [""E19p""]}"
8192,439,20,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 10, ""s"": 14, ""l"": 29, ""algorithms"": [""E19p""]}"
8192,437,22,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 10, ""s"": 15, ""l"": 27, ""algorithms"": [""E19p""]}"
8192,436,24,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 11, ""s"": 16, ""l"": 25, ""algorithms"": [""E19p""]}"
8192,435,26,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 11, ""s"": 17, ""l"": 24, ""algorithms"": [""E19p""]}"
8192,434,28,0.99,"{""z"": 200, ""m"": 400, ""sigma"": 11, ""s"": 18, ""l"": 23, ""algorithms"": [""E19p""]}"
